format_label,compute_format,rows_per_call,arithmetic_intensity_ops_per_weight_byte,compute_service_s,hbm_weight_service_s,rom_weight_service_s,hbm_binding_term,rom_binding_term,roofline_storage_attribution,additive_storage_attribution,zero_cost_rom_additive_upper_bound,actual_architecture_ratio_not_storage_attribution,gpu_actual_binding_term,rom_actual_binding_term
BF16,bf16_x_bf16,1,1.0,2.385638456491919e-07,8.904917740822368e-05,9.30455569730488e-07,immutable_weight,immutable_weight,95.70492165898617,76.37832193306522,374.2718894009216,405.4866417657045,immutable_weight,immutable_weight
BF16,bf16_x_bf16,3,3.0,7.156915369475756e-07,8.904917740822368e-05,9.30455569730488e-07,immutable_weight,immutable_weight,95.70492165898617,54.53028382519069,125.42396313364054,405.4866417657045,immutable_weight,immutable_weight
BF16,bf16_x_bf16,4,4.0,9.542553825967676e-07,8.904917740822368e-05,9.30455569730488e-07,immutable_weight,compute,93.3179723502304,47.75450191960923,94.3179723502304,395.3735144312393,immutable_weight,compute
BF16,bf16_x_bf16,16,16.0,3.81702153038707e-06,8.904917740822368e-05,9.30455569730488e-07,immutable_weight,compute,23.3294930875576,19.561168380635518,24.329493087557605,98.84337860780983,immutable_weight,compute
BF16,bf16_x_bf16,64,64.0,1.526808612154828e-05,8.904917740822368e-05,9.30455569730488e-07,immutable_weight,compute,5.8323732718894,6.439916970176148,6.8323732718894,24.710844651952456,immutable_weight,compute
BF16,bf16_x_bf16,144,144.0,3.435319377348363e-05,8.904917740822368e-05,9.30455569730488e-07,immutable_weight,compute,2.5921658986175116,3.4974378636783654,3.592165898617512,10.982597623089982,immutable_weight,compute
BF16,bf16_x_bf16,174,174.0,4.151010914295939e-05,8.904917740822368e-05,9.30455569730488e-07,immutable_weight,compute,2.1452407436834577,3.076285328318108,3.145240743683458,9.089046308764123,immutable_weight,compute
BF16,bf16_x_bf16,175,175.0,4.1748672988608574e-05,8.904917740822368e-05,9.30455569730488e-07,immutable_weight,compute,2.132982225148124,3.0646795006144916,3.1329822251481234,9.078947368421051,compute,compute
BF16,bf16_x_bf16,186,186.0,4.4372875290749685e-05,8.904917740822368e-05,9.30455569730488e-07,immutable_weight,compute,2.0068381150587187,2.945082627806569,3.0068381150587187,9.078947368421051,compute,compute
BF16,bf16_x_bf16,187,187.0,4.461143913639888e-05,8.904917740822368e-05,9.30455569730488e-07,immutable_weight,compute,1.9961063604327363,2.93489362722174,2.9961063604327363,9.078947368421053,compute,compute
BF16,bf16_x_bf16,256,256.0,6.107234448619313e-05,8.904917740822368e-05,9.30455569730488e-07,immutable_weight,compute,1.45809331797235,2.4212055223153515,2.4580933179723505,9.078947368421051,compute,compute
BF16,bf16_x_bf16,339,339.0,8.087314367507605e-05,8.904917740822368e-05,9.30455569730488e-07,immutable_weight,compute,1.1010970188817748,2.077198590917594,2.1010970188817746,9.078947368421051,compute,compute
BF16,bf16_x_bf16,340,340.0,8.111170752072524e-05,8.904917740822368e-05,9.30455569730488e-07,immutable_weight,compute,1.0978584982380049,2.0740662912719374,2.097858498238005,9.078947368421053,compute,compute
BF16,bf16_x_bf16,373,373.0,8.898431442714856e-05,8.904917740822368e-05,9.30455569730488e-07,immutable_weight,compute,1.000728926007833,1.9800249930189646,2.0007289260078327,9.078947368421055,compute,compute
BF16,bf16_x_bf16,374,374.0,8.922287827279776e-05,8.904917740822368e-05,9.30455569730488e-07,compute,compute,1.0,1.9774316498645639,1.9980531802163681,9.078947368421053,compute,compute
BF16,bf16_x_bf16,512,512.0,0.00012214468897238625,8.904917740822368e-05,9.30455569730488e-07,compute,compute,1.0,1.7159749612021677,1.7290466589861753,9.078947368421051,compute,compute
BF16,bf16_x_bf16,960,960.0,0.00022902129182322418,8.904917740822368e-05,9.30455569730488e-07,compute,compute,1.0,1.383205271703854,1.3888248847926268,9.078947368421053,compute,compute
BF16,bf16_x_bf16,1560,1560.0,0.0003721595992127393,8.904917740822368e-05,9.30455569730488e-07,compute,compute,1.0,1.2361861987714222,1.239276852180078,9.078947368421051,compute,compute
BF16,bf16_x_bf16,2040,2040.0,0.0004866702451243514,8.904917740822368e-05,9.30455569730488e-07,compute,compute,1.0,1.180719022169286,1.1829764163730008,9.078947368421053,compute,compute
BF16,bf16_x_bf16,4680,4680.0,0.001116478797638218,8.904917740822368e-05,9.30455569730488e-07,compute,compute,1.0,1.0788598461893124,1.0797589507266927,9.078947368421051,compute,compute
BF16,bf16_x_bf16,8640,8640.0,0.002061191626409018,8.904917740822368e-05,9.30455569730488e-07,compute,compute,1.0,1.0427320586926343,1.0432027649769584,9.078947368421051,compute,compute
BF16,bf16_x_bf16,8800,8800.0,0.0020993618417128887,8.904917740822368e-05,9.30455569730488e-07,compute,compute,1.0,1.0419554563679074,1.0424172601591954,9.07894736842105,compute,compute
BF16,bf16_x_bf16,38222,38222.0,0.00911838730840341,8.904917740822368e-05,9.30455569730488e-07,compute,compute,1.0,1.0096628633982485,1.0097658910941585,9.078947368421053,compute,compute
FP8,fp8_e4m3_x_fp8_e4m3,1,2.0,1.1928192282459595e-07,4.452458870411184e-05,4.65227784865244e-07,immutable_weight,immutable_weight,95.70492165898617,76.37832193306522,374.2718894009216,405.4866417657045,immutable_weight,immutable_weight
FP8,fp8_e4m3_x_fp8_e4m3,3,6.0,3.578457684737878e-07,4.452458870411184e-05,4.65227784865244e-07,immutable_weight,immutable_weight,95.70492165898617,54.53028382519069,125.42396313364054,405.4866417657045,immutable_weight,immutable_weight
FP8,fp8_e4m3_x_fp8_e4m3,4,8.0,4.771276912983838e-07,4.452458870411184e-05,4.65227784865244e-07,immutable_weight,compute,93.3179723502304,47.75450191960923,94.3179723502304,395.3735144312393,immutable_weight,compute
FP8,fp8_e4m3_x_fp8_e4m3,16,32.0,1.908510765193535e-06,4.452458870411184e-05,4.65227784865244e-07,immutable_weight,compute,23.3294930875576,19.561168380635518,24.329493087557605,98.84337860780983,immutable_weight,compute
FP8,fp8_e4m3_x_fp8_e4m3,64,128.0,7.63404306077414e-06,4.452458870411184e-05,4.65227784865244e-07,immutable_weight,compute,5.8323732718894,6.439916970176148,6.8323732718894,24.710844651952456,immutable_weight,compute
FP8,fp8_e4m3_x_fp8_e4m3,144,288.0,1.7176596886741814e-05,4.452458870411184e-05,4.65227784865244e-07,immutable_weight,compute,2.5921658986175116,3.4974378636783654,3.592165898617512,10.982597623089982,immutable_weight,compute
FP8,fp8_e4m3_x_fp8_e4m3,174,348.0,2.0755054571479694e-05,4.452458870411184e-05,4.65227784865244e-07,immutable_weight,compute,2.1452407436834577,3.076285328318108,3.145240743683458,9.089046308764123,immutable_weight,compute
FP8,fp8_e4m3_x_fp8_e4m3,175,350.0,2.0874336494304287e-05,4.452458870411184e-05,4.65227784865244e-07,immutable_weight,compute,2.132982225148124,3.0646795006144916,3.1329822251481234,9.078947368421051,compute,compute
FP8,fp8_e4m3_x_fp8_e4m3,186,372.0,2.2186437645374843e-05,4.452458870411184e-05,4.65227784865244e-07,immutable_weight,compute,2.0068381150587187,2.945082627806569,3.0068381150587187,9.078947368421051,compute,compute
FP8,fp8_e4m3_x_fp8_e4m3,187,374.0,2.230571956819944e-05,4.452458870411184e-05,4.65227784865244e-07,immutable_weight,compute,1.9961063604327363,2.93489362722174,2.9961063604327363,9.078947368421053,compute,compute
FP8,fp8_e4m3_x_fp8_e4m3,256,512.0,3.053617224309656e-05,4.452458870411184e-05,4.65227784865244e-07,immutable_weight,compute,1.45809331797235,2.4212055223153515,2.4580933179723505,9.078947368421051,compute,compute
FP8,fp8_e4m3_x_fp8_e4m3,339,678.0,4.0436571837538025e-05,4.452458870411184e-05,4.65227784865244e-07,immutable_weight,compute,1.1010970188817748,2.077198590917594,2.1010970188817746,9.078947368421051,compute,compute
FP8,fp8_e4m3_x_fp8_e4m3,340,680.0,4.055585376036262e-05,4.452458870411184e-05,4.65227784865244e-07,immutable_weight,compute,1.0978584982380049,2.0740662912719374,2.097858498238005,9.078947368421053,compute,compute
FP8,fp8_e4m3_x_fp8_e4m3,373,746.0,4.449215721357428e-05,4.452458870411184e-05,4.65227784865244e-07,immutable_weight,compute,1.000728926007833,1.9800249930189646,2.0007289260078327,9.078947368421055,compute,compute
FP8,fp8_e4m3_x_fp8_e4m3,374,748.0,4.461143913639888e-05,4.452458870411184e-05,4.65227784865244e-07,compute,compute,1.0,1.9774316498645639,1.9980531802163681,9.078947368421053,compute,compute
FP8,fp8_e4m3_x_fp8_e4m3,512,1024.0,6.107234448619313e-05,4.452458870411184e-05,4.65227784865244e-07,compute,compute,1.0,1.7159749612021677,1.7290466589861753,9.078947368421051,compute,compute
FP8,fp8_e4m3_x_fp8_e4m3,960,1920.0,0.00011451064591161209,4.452458870411184e-05,4.65227784865244e-07,compute,compute,1.0,1.383205271703854,1.3888248847926268,9.078947368421053,compute,compute
FP8,fp8_e4m3_x_fp8_e4m3,1560,3120.0,0.00018607979960636966,4.452458870411184e-05,4.65227784865244e-07,compute,compute,1.0,1.2361861987714222,1.239276852180078,9.078947368421051,compute,compute
FP8,fp8_e4m3_x_fp8_e4m3,2040,4080.0,0.0002433351225621757,4.452458870411184e-05,4.65227784865244e-07,compute,compute,1.0,1.180719022169286,1.1829764163730008,9.078947368421053,compute,compute
FP8,fp8_e4m3_x_fp8_e4m3,4680,9360.0,0.000558239398819109,4.452458870411184e-05,4.65227784865244e-07,compute,compute,1.0,1.0788598461893124,1.0797589507266927,9.078947368421051,compute,compute
FP8,fp8_e4m3_x_fp8_e4m3,8640,17280.0,0.001030595813204509,4.452458870411184e-05,4.65227784865244e-07,compute,compute,1.0,1.0427320586926343,1.0432027649769584,9.078947368421051,compute,compute
FP8,fp8_e4m3_x_fp8_e4m3,8800,17600.0,0.0010496809208564444,4.452458870411184e-05,4.65227784865244e-07,compute,compute,1.0,1.0419554563679074,1.0424172601591954,9.07894736842105,compute,compute
FP8,fp8_e4m3_x_fp8_e4m3,38222,76444.0,0.004559193654201705,4.452458870411184e-05,4.65227784865244e-07,compute,compute,1.0,1.0096628633982485,1.0097658910941585,9.078947368421053,compute,compute
