model,context_tokens,batch_size,factor,endpoint,value,rom_per_user_tokens_s,speed_ratio_vs_fastest_gpu,partial_tco_ratio_vs_cheapest_gpu,binding_constraint,baseline_speed_ratio
DeepSeek-V4-Flash-0731,200000,1,GPU shared-KV reread amplification,ideal,1.0,4349.596649156201,2.5939715732063306,2.1363632803035983,rom_full_array_read_C4,2.5939715732063306
DeepSeek-V4-Flash-0731,200000,1,GPU shared-KV reread amplification,reread_stress,4.0,4349.596649156201,2.626740469057689,2.1777916611557298,rom_full_array_read_C4,2.5939715732063306
DeepSeek-V4-Flash-0731,200000,8,ROM array bandwidth (B/s/wafer),pessimistic,30000000000000.0,453.17474176819945,0.4608361092234874,0.6010437224903216,rom_full_array_read_C4,1.1432796098766294
DeepSeek-V4-Flash-0731,200000,8,ROM array bandwidth (B/s/wafer),optimistic,2000000000000000.0,1124.2726678855554,1.1432796098766294,1.4916186571965278,compute_C5,1.1432796098766294
DeepSeek-V4-Flash-0731,200000,8,ROM low-precision peak compute (op/s/wafer; higher-precision roof scales proportionally),pessimistic,500000000000000.0,591.1945051358999,0.6011892332703952,0.784152871112332,compute_C5,1.1432796098766294
DeepSeek-V4-Flash-0731,200000,8,ROM low-precision peak compute (op/s/wafer; higher-precision roof scales proportionally),optimistic,3e+16,1382.7389011219304,1.4061154705549084,1.8347736559410033,rom_full_array_read_C4,1.1432796098766294
DeepSeek-V4-Flash-0731,200000,8,ROM capacity (bytes/wafer),pessimistic,128000000000.0,1124.2726678855554,1.1432796098766294,1.4916186571965278,compute_C5,1.1432796098766294
DeepSeek-V4-Flash-0731,200000,8,ROM capacity (bytes/wafer),optimistic,192000000000.0,1145.0456682048207,1.1644037983225184,1.1937188241385153,compute_C5,1.1432796098766294
DeepSeek-V4-Flash-0731,200000,8,ROM HBM bandwidth (B/s/wafer),pessimistic,4000000000000.0,1124.2726678855554,1.1432796098766294,1.4916186571965278,compute_C5,1.1432796098766294
DeepSeek-V4-Flash-0731,200000,8,ROM HBM bandwidth (B/s/wafer),optimistic,16000000000000.0,1124.2726678855554,1.1432796098766294,1.4916186571965278,compute_C5,1.1432796098766294
DeepSeek-V4-Flash-0731,200000,8,ROM HBM capacity (bytes/wafer),pessimistic,192000000000.0,1124.2726678855554,1.1432796098766294,1.4916186571965278,compute_C5,1.1432796098766294
