study_slice,model,scenario,architecture,window_frames,cache_mode,clip_duration_s,denoise_calls,attention_density,noc_critical_cut_fraction,cache_remote_fraction,rom_row_reuse,tensor_operations,weight_read_bytes,mutable_hbm_bytes,rom_latency_s,same_compute_hbm_latency_s,rom_storage_speedup,generated_rate_fps,real_time_factor,main_compute_service_s,main_immutable_service_s,main_mutable_service_s,main_storage_service_s,main_noc_serialization_floor_s,main_largest_modeled_term
oasis_cache_placement_row_reuse,Oasis-500M-public-code,causal_kv_cache-W32,ROM-wafer-N4-class-HBM3e-central,32,causal_kv_cache,,,,0.5,0.0,64,1490483714048,13679570656,3227516928.0,0.00047700854257116986,0.0010612953593588748,2.2248980146944204,2096.398514395158,0.009540170851423396,0.00015492284041748673,1.4471360707827476e-05,0.00014370386375475857,0.00014370386375475857,0.00026331428571428573,noc_serialization_floor
oasis_cache_placement_row_reuse,Oasis-500M-public-code,causal_kv_cache-W32,ROM-wafer-N4-class-HBM3e-central,32,causal_kv_cache,,,,0.5,0.0,8,1490483714048,13679570656,3227516928.0,0.00047700854257116986,0.0010612953593588748,2.2248980146944204,2096.398514395158,0.009540170851423396,0.00015492284041748673,7.633923299480605e-05,0.00014370386375475857,0.00014370386375475857,0.00026331428571428573,noc_serialization_floor
oasis_cache_placement_row_reuse,Oasis-500M-public-code,causal_kv_cache-W32,ROM-wafer-N4-class-HBM3e-central,32,causal_kv_cache,,,,0.5,0.0,1,1490483714048,13679570656,3227516928.0,0.0009769299833758543,0.0010612953593588748,1.0863576483664568,1023.6148106995606,0.019538599667517087,0.00015492284041748673,0.0005960293602054261,0.00014370386375475857,0.0005960293602054261,0.00026331428571428573,storage
oasis_cache_placement_row_reuse,Oasis-500M-public-code,causal_kv_cache-W32,ROM-wafer-N4-class-HBM3e-central,32,causal_kv_cache,,,,0.5,0.25,whole_call,1490483714048,13679570656,3227516928.0,0.0014973513997140271,0.0020816382165017317,1.3902135576854537,667.8459045692185,0.02994702799428054,0.00015492284041748673,6.222311069563665e-06,0.00014370386375475857,0.00014370386375475857,0.001283657142857143,noc_serialization_floor
oasis_cache_placement_row_reuse,Oasis-500M-public-code,causal_kv_cache-W32,ROM-wafer-N4-class-HBM3e-central,32,causal_kv_cache,,,,0.5,0.25,64,1490483714048,13679570656,3227516928.0,0.0014973513997140271,0.0020816382165017317,1.3902135576854537,667.8459045692185,0.02994702799428054,0.00015492284041748673,1.4471360707827476e-05,0.00014370386375475857,0.00014370386375475857,0.001283657142857143,noc_serialization_floor
oasis_cache_placement_row_reuse,Oasis-500M-public-code,causal_kv_cache-W32,ROM-wafer-N4-class-HBM3e-central,32,causal_kv_cache,,,,0.5,0.25,8,1490483714048,13679570656,3227516928.0,0.0014973513997140271,0.0020816382165017317,1.3902135576854537,667.8459045692185,0.02994702799428054,0.00015492284041748673,7.633923299480605e-05,0.00014370386375475857,0.00014370386375475857,0.001283657142857143,noc_serialization_floor
oasis_cache_placement_row_reuse,Oasis-500M-public-code,causal_kv_cache-W32,ROM-wafer-N4-class-HBM3e-central,32,causal_kv_cache,,,,0.5,0.25,1,1490483714048,13679570656,3227516928.0,0.0019972728405187115,0.0020816382165017317,1.0422402859897246,500.68272081459344,0.03994545681037423,0.00015492284041748673,0.0005960293602054261,0.00014370386375475857,0.0005960293602054261,0.001283657142857143,noc_serialization_floor
oasis_cache_placement_row_reuse,Oasis-500M-public-code,causal_kv_cache-W32,ROM-wafer-N4-class-HBM3e-central,32,causal_kv_cache,,,,0.5,0.5,whole_call,1490483714048,13679570656,3227516928.0,0.0025176942568568843,0.003101981073644589,1.2320721887482613,397.18881563022285,0.050353885137137684,0.00015492284041748673,6.222311069563665e-06,0.00014370386375475857,0.00014370386375475857,0.002304,noc_serialization_floor
oasis_cache_placement_row_reuse,Oasis-500M-public-code,causal_kv_cache-W32,ROM-wafer-N4-class-HBM3e-central,32,causal_kv_cache,,,,0.5,0.5,64,1490483714048,13679570656,3227516928.0,0.0025176942568568843,0.003101981073644589,1.2320721887482613,397.18881563022285,0.050353885137137684,0.00015492284041748673,1.4471360707827476e-05,0.00014370386375475857,0.00014370386375475857,0.002304,noc_serialization_floor
oasis_cache_placement_row_reuse,Oasis-500M-public-code,causal_kv_cache-W32,ROM-wafer-N4-class-HBM3e-central,32,causal_kv_cache,,,,0.5,0.5,8,1490483714048,13679570656,3227516928.0,0.0025176942568568843,0.003101981073644589,1.2320721887482613,397.18881563022285,0.050353885137137684,0.00015492284041748673,7.633923299480605e-05,0.00014370386375475857,0.00014370386375475857,0.002304,noc_serialization_floor
